year,month,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2017,1,765.0,637.0,346.0,419.0,68.0
2017,2,543.0,509.0,258.0,317.0,64.0
2017,3,657.0,599.0,291.0,430.0,62.0
2017,4,603.0,537.0,306.0,347.0,65.0
2017,5,736.0,557.0,308.0,401.0,78.0
2017,6,656.0,575.0,303.0,408.0,51.0
2017,7,521.0,476.0,283.0,350.0,66.0
2017,8,655.0,579.0,326.0,400.0,73.0
2017,9,645.0,470.0,273.0,337.0,49.0
2017,10,678.0,549.0,346.0,372.0,74.0
2017,11,665.0,484.0,242.0,314.0,57.0
2017,12,529.0,377.0,168.0,228.0,27.0
2018,1,840.0,631.0,304.0,405.0,66.0
2018,2,623.0,472.0,249.0,382.0,52.0
2018,3,532.0,565.0,330.0,435.0,65.0
2018,4,604.0,544.0,332.0,388.0,72.0
2018,5,750.0,588.0,340.0,398.0,52.0
2018,6,640.0,553.0,295.0,351.0,56.0
2018,7,593.0,490.0,291.0,451.0,47.0
2018,8,642.0,535.0,312.0,430.0,61.0
2018,9,494.0,466.0,268.0,372.0,41.0
2018,10,524.0,564.0,260.0,330.0,71.0
2018,11,500.0,425.0,207.0,294.0,58.0
2018,12,398.0,324.0,202.0,216.0,50.0
2019,1,676.0,571.0,307.0,455.0,51.0
2019,2,562.0,426.0,268.0,345.0,56.0
2019,3,535.0,465.0,231.0,388.0,57.0
2019,4,597.0,423.0,310.0,344.0,72.0
2019,5,588.0,509.0,285.0,348.0,65.0
2019,6,513.0,460.0,244.0,301.0,65.0
2019,7,545.0,478.0,232.0,336.0,61.0
2019,8,545.0,424.0,209.0,286.0,51.0
2019,9,478.0,483.0,150.0,270.0,44.0
2019,10,439.0,461.0,231.0,245.0,56.0
2019,11,374.0,325.0,176.0,248.0,35.0
2019,12,336.0,287.0,163.0,139.0,23.0
2020,1,511.0,458.0,240.0,333.0,55.0
2020,2,383.0,343.0,173.0,233.0,33.0
2020,3,161.0,192.0,102.0,125.0,21.0
2020,11,,4.0,1.0,1.0,
2020,12,1.0,6.0,,1.0,3.0
2021,1,1.0,2.0,,1.0,
2021,2,,1.0,2.0,,
2021,3,,,,1.0,
2021,4,,3.0,,,
2021,5,,4.0,1.0,,
2021,6,1.0,2.0,,1.0,2.0
2021,7,2.0,29.0,9.0,2.0,6.0
2021,8,6.0,16.0,6.0,6.0,8.0
2021,9,,4.0,1.0,3.0,1.0
2021,10,1.0,2.0,3.0,4.0,4.0
2021,11,4.0,17.0,6.0,7.0,4.0
2021,12,8.0,11.0,20.0,4.0,6.0
2022,1,39.0,32.0,12.0,18.0,17.0
2022,2,41.0,65.0,33.0,33.0,16.0
2022,3,38.0,120.0,43.0,71.0,18.0
2022,4,44.0,128.0,39.0,66.0,17.0
2022,5,72.0,145.0,59.0,84.0,29.0
2022,6,83.0,158.0,65.0,81.0,19.0
2022,7,82.0,158.0,76.0,69.0,22.0
2022,8,86.0,225.0,90.0,79.0,16.0
2022,9,133.0,178.0,107.0,98.0,16.0
2022,10,14.0,12.0,14.0,3.0,3.0
